aX,aY,aZ,gX,gY,gZ
1.728,-0.442,0.696,11.475,52.185,101.807
1.862,-0.494,0.656,19.043,63.538,145.264
1.804,-0.562,0.625,29.114,68.054,188.354
1.539,-0.572,0.637,36.316,58.105,221.436
1.175,-0.541,0.653,43.335,44.006,245.178
0.729,-0.443,0.711,48.950,26.978,260.071
0.230,-0.354,0.773,53.284,9.155,264.526
-0.289,-0.109,0.906,53.284,-7.019,258.667
-0.716,-0.080,1.041,54.260,-18.677,244.324
-1.217,0.037,1.209,52.551,-24.475,224.670
-1.522,0.024,1.329,48.462,-24.048,196.899
-1.807,-0.047,1.353,43.762,-18.555,163.147
-1.947,-0.036,1.329,36.316,-13.733,130.066
-2.047,-0.092,1.397,26.733,-10.498,88.257
-2.137,-0.072,1.436,15.442,-16.968,46.692
-1.923,-0.009,1.447,5.737,-14.648,2.869
-1.269,-0.016,1.419,-1.709,-5.127,-33.691
-0.655,-0.084,1.196,-3.540,11.658,-53.894
-0.348,-0.067,1.018,-5.493,19.653,-67.688
-0.265,-0.078,1.038,-8.423,13.428,-82.336
-0.277,-0.169,1.082,-12.512,-1.343,-100.891
-0.258,-0.186,1.021,-16.479,-11.475,-116.272
-0.171,-0.240,1.027,-20.264,-18.250,-128.601
-0.070,-0.242,1.079,-22.278,-20.264,-137.146
0.005,-0.261,1.094,-25.452,-18.127,-141.296
0.038,-0.239,1.063,-29.053,-14.038,-141.968
0.020,-0.211,1.006,-32.349,-10.315,-142.090
0.010,-0.190,0.967,-34.302,-9.583,-144.531
0.025,-0.179,0.903,-35.095,-9.460,-147.705
0.063,-0.169,0.847,-34.973,-9.094,-150.452
0.129,-0.128,0.867,-33.508,-8.301,-152.954
0.179,-0.150,0.880,-32.532,-6.287,-153.809
0.242,-0.121,0.839,-31.677,-4.272,-153.259
0.301,-0.135,0.773,-30.457,-2.319,-151.367
0.372,-0.075,0.786,-27.832,-1.709,-148.682
0.462,-0.078,0.765,-24.414,-0.671,-144.409
0.550,-0.056,0.785,-21.179,-0.305,-138.916
0.698,-0.090,0.798,-17.395,0.427,-132.629
0.820,-0.093,0.781,-14.343,1.648,-123.230
0.939,-0.079,0.748,-11.658,2.869,-110.291
