aX,aY,aZ,gX,gY,gZ
-2.306,-0.566,0.894,-32.227,-31.189,-114.868
-2.468,-0.814,0.854,-24.231,-23.376,-154.541
-2.251,-0.962,0.833,-19.409,-7.080,-178.467
-1.891,-0.983,0.738,-21.790,3.662,-222.717
-1.638,-0.747,0.621,-21.484,11.353,-254.150
-1.177,-0.660,0.612,-27.100,17.456,-288.330
-0.912,-0.676,0.589,-27.893,25.635,-318.909
-0.374,-0.539,0.568,-23.987,36.682,-336.182
0.119,-0.560,0.659,-16.296,45.776,-345.886
0.860,-0.484,0.787,-13.794,47.424,-346.680
1.519,-0.308,0.787,-14.404,47.546,-334.412
2.265,-0.260,0.668,-15.564,45.349,-310.913
2.912,-0.141,0.452,-13.428,46.570,-274.597
3.188,-0.143,0.467,-12.207,31.982,-226.135
3.225,-0.198,0.506,-4.456,14.954,-167.297
3.220,-0.208,0.674,3.296,0.916,-103.577
3.082,-0.213,0.718,12.451,15.442,-47.729
2.682,-0.219,0.910,19.714,17.700,-3.052
1.930,-0.301,1.215,20.569,-9.583,20.813
1.373,-0.386,1.222,16.296,-30.029,23.621
0.838,-0.293,1.156,9.644,-27.954,39.429
0.589,-0.308,1.107,12.512,-19.104,91.064
0.361,-0.308,1.167,23.071,-11.108,141.846
0.203,-0.467,1.160,28.503,2.380,152.405
0.104,-0.430,1.142,41.382,15.564,186.951
0.113,-0.495,0.956,59.814,21.545,234.253
0.136,-0.364,0.922,47.729,13.672,245.239
0.183,-0.476,0.789,31.372,26.489,237.793
0.106,-0.270,0.916,41.077,37.415,287.109
0.233,-0.250,0.802,32.288,25.024,249.756
0.186,-0.313,0.810,22.034,5.188,213.806
0.142,-0.333,0.821,17.273,-6.042,198.792
0.080,-0.364,0.823,16.724,-10.620,199.280
0.005,-0.348,0.852,16.724,-15.869,204.468
-0.107,-0.378,0.909,16.418,-19.226,206.604
-0.214,-0.365,0.936,16.479,-18.616,205.078
-0.336,-0.322,0.937,16.357,-17.334,200.073
-0.495,-0.307,0.981,14.404,-20.142,188.782
-0.662,-0.289,1.025,11.475,-24.353,170.715
-0.810,-0.238,1.079,7.996,-22.705,148.560
-0.839,-0.280,1.015,7.507,-13.489,120.850
-0.940,-0.237,1.084,5.676,-16.663,98.694
-0.895,-0.216,1.034,5.188,-12.939,83.130
-0.806,-0.223,1.011,7.812,-4.211,66.956
-0.745,-0.175,1.029,7.874,-3.845,54.260
-0.649,-0.162,1.003,8.240,-0.183,41.016
-0.541,-0.129,1.002,7.751,2.380,29.419
-0.480,-0.048,0.943,7.690,1.892,16.357
-0.375,-0.118,0.979,5.554,-2.380,3.845
-0.271,-0.084,1.010,8.911,0.977,3.662
-0.191,-0.114,1.030,9.766,0.916,2.136
-0.071,-0.098,0.976,7.996,0.732,-2.319
0.059,-0.086,0.935,7.385,-0.366,-3.906
0.142,-0.074,0.937,8.362,-1.953,-1.526
0.170,-0.069,0.924,9.094,-2.625,2.258
0.156,-0.059,0.901,9.644,-3.662,4.639
0.114,-0.062,0.922,10.376,-5.859,5.249
0.064,-0.078,0.959,11.047,-8.484,4.822
0.026,-0.088,0.968,11.292,-9.766,4.639
0.002,-0.089,0.960,11.414,-10.010,5.005
-0.023,-0.093,0.971,11.414,-9.827,5.615
-0.050,-0.096,0.974,11.902,-8.118,6.348
-0.068,-0.103,0.982,12.085,-5.859,6.104
-0.077,-0.114,0.997,12.085,-4.700,4.456
-0.068,-0.126,1.011,11.597,-4.211,1.770
-0.046,-0.135,1.021,10.559,-3.662,-0.610
-0.023,-0.135,1.024,9.644,-2.441,-1.526
0.003,-0.138,1.028,8.667,-0.854,-1.099
0.026,-0.141,1.025,7.751,0.244,-0.549
0.042,-0.128,1.004,6.470,1.099,-0.488
0.047,-0.116,0.990,4.944,1.526,-0.549
0.047,-0.110,0.979,4.272,1.526,-0.305
0.040,-0.114,0.987,4.211,0.854,0.000
0.030,-0.116,0.991,4.028,0.305,0.732
0.026,-0.109,0.972,3.723,0.061,1.526
0.018,-0.098,0.961,3.601,-0.427,1.892
0.012,-0.094,0.957,3.418,-0.732,1.709
0.007,-0.088,0.946,3.845,-0.854,1.648
0.001,-0.088,0.950,4.272,-0.427,1.892
-0.001,-0.098,0.965,5.127,0.061,1.953
-0.003,-0.097,0.965,5.188,0.732,1.953
-0.003,-0.097,0.962,5.188,1.343,1.587
-0.001,-0.104,0.973,5.310,1.160,1.099
0.012,-0.104,0.970,5.066,1.465,0.732
0.026,-0.097,0.959,5.127,2.014,0.427
0.037,-0.098,0.961,5.493,1.892,0.183
0.039,-0.101,0.964,5.676,1.648,0.305
0.036,-0.097,0.956,5.554,1.343,0.610
0.027,-0.096,0.953,5.859,0.854,0.732
0.018,-0.091,0.959,5.676,0.366,0.793
0.016,-0.095,0.953,6.226,0.061,0.916
0.016,-0.096,0.957,6.653,0.122,1.221
0.017,-0.104,0.971,6.836,-0.061,1.404
0.020,-0.111,0.980,7.141,0.183,1.587
0.022,-0.115,0.983,7.080,0.183,1.831
0.027,-0.108,0.974,6.775,0.244,1.587
0.028,-0.104,0.966,6.592,-0.122,1.221
0.029,-0.102,0.965,6.592,-0.488,0.916
0.031,-0.105,0.969,6.897,-0.732,0.916
0.028,-0.112,0.976,7.019,-0.610,1.221
0.022,-0.112,0.973,6.775,-0.427,1.343
0.016,-0.108,0.968,6.836,-0.610,1.282
0.014,-0.111,0.974,6.775,-0.732,1.221
0.013,-0.112,0.974,6.714,-0.488,1.160
0.011,-0.110,0.967,6.592,-0.427,1.343
0.015,-0.106,0.959,6.470,-0.183,1.587
0.021,-0.103,0.957,6.714,-0.244,1.587
0.026,-0.100,0.954,6.836,-0.488,1.587
0.030,-0.106,0.959,7.141,-0.793,1.587
0.030,-0.105,0.978,7.507,-0.732,1.648
0.033,-0.111,0.969,7.507,-0.488,1.770
0.026,-0.118,0.984,7.385,-0.732,1.648
0.020,-0.124,0.991,7.141,-0.732,1.648
0.016,-0.123,0.984,6.775,-0.793,1.465
0.015,-0.126,0.993,6.531,-0.732,1.343
0.012,-0.127,0.992,6.165,-0.488,1.343
0.015,-0.120,0.976,5.615,-0.366,1.465
0.016,-0.118,0.977,5.493,-0.610,1.587
0.017,-0.121,0.982,5.554,-0.732,1.770
-1.576,-0.609,1.092,-18.921,-29.236,-83.374
-1.868,-0.636,1.080,-16.968,-20.081,-107.056
-1.949,-0.764,1.025,-16.907,-21.057,-134.338
-1.805,-0.794,0.974,-20.386,-8.789,-172.852
-1.524,-0.788,0.863,-25.513,-2.441,-213.928
-1.182,-0.689,0.743,-27.771,6.836,-244.629
-0.797,-0.606,0.696,-26.794,13.916,-268.433
-0.449,-0.568,0.651,-23.315,17.822,-285.950
-0.071,-0.486,0.626,-20.508,24.109,-295.776
0.255,-0.427,0.623,-17.517,30.396,-296.753
0.693,-0.299,0.721,-16.357,34.790,-290.771
1.059,-0.252,0.859,-12.390,35.217,-278.564
1.556,-0.114,0.807,-11.108,32.349,-259.338
1.900,-0.049,0.679,-11.353,29.663,-234.009
2.258,0.019,0.622,-11.292,21.179,-203.003
2.458,0.034,0.618,-6.226,14.099,-160.217
2.445,0.005,0.716,0.427,11.597,-116.211
2.343,-0.041,0.789,7.202,17.029,-74.524
2.161,-0.095,0.766,14.832,21.606,-39.246
1.623,-0.153,0.871,20.020,8.972,-12.756
0.853,-0.162,1.157,20.691,-14.587,4.028
0.366,-0.166,1.171,20.081,-21.851,16.724
0.102,-0.247,1.141,20.874,-17.029,33.386
-0.128,-0.243,1.148,25.330,-7.263,60.669
-0.152,-0.335,1.132,29.968,5.310,89.783
-0.242,-0.283,1.145,31.860,16.174,116.211
-0.232,-0.297,1.119,28.809,18.250,134.216
-0.121,-0.215,1.180,24.292,9.521,143.005
-0.007,-0.143,1.227,21.851,9.521,131.470
0.273,-0.161,1.006,16.846,19.592,103.333
0.401,-0.148,1.011,4.517,5.798,78.735
0.554,-0.127,1.001,-1.892,-3.845,69.519
0.678,-0.113,0.942,-4.150,-7.080,70.862
0.790,-0.111,0.877,-2.808,-6.592,80.688
0.840,-0.144,0.848,1.831,-3.113,96.497
0.843,-0.157,0.848,8.362,-0.122,118.713
0.869,-0.178,0.762,13.855,5.310,144.043
0.843,-0.220,0.727,16.479,5.371,166.382
0.782,-0.267,0.783,17.883,-0.977,182.251
0.705,-0.306,0.828,18.005,-6.165,191.711
0.547,-0.356,0.839,17.517,-10.071,192.749
0.311,-0.442,0.867,15.991,-14.343,190.247
0.138,-0.446,0.896,13.977,-21.240,187.317
-0.019,-0.490,0.909,16.418,-27.649,185.913
-0.384,-0.391,0.927,19.165,-27.039,208.923
-0.614,-0.333,0.861,18.677,-19.531,212.280
-0.887,-0.347,0.942,15.564,-20.325,199.036
-1.087,-0.335,0.993,16.357,-18.127,190.125
-1.169,-0.283,0.979,16.846,-11.047,186.157
-1.205,-0.267,0.947,15.747,-4.883,174.438
-1.256,-0.273,0.991,9.705,-6.836,140.747
-1.284,-0.294,1.027,3.967,-11.230,102.722
-1.248,-0.269,0.999,4.578,-9.766,81.421
-1.185,-0.188,1.119,6.592,-9.827,62.561
-1.038,-0.206,1.187,7.385,-8.118,23.132
-0.739,-0.188,1.219,6.775,-2.625,-4.578
-0.281,-0.147,1.125,6.042,8.301,-20.142
0.075,-0.138,1.078,7.385,16.418,-25.574
0.327,-0.112,0.997,9.583,22.705,-21.118
0.462,-0.070,0.932,10.132,21.851,-13.977
0.476,-0.023,0.898,9.338,14.893,-13.000
0.463,-0.025,0.877,8.606,6.104,-18.860
0.349,-0.044,0.866,5.737,-4.395,-26.367
0.202,-0.101,0.876,2.563,-14.465,-30.579
0.004,-0.081,0.919,5.371,-21.912,-21.057
-0.159,-0.051,0.896,8.667,-23.682,-9.888
-0.146,-0.183,0.998,0.061,-28.137,-39.307
-0.270,-0.125,1.025,-0.916,-23.499,-47.668
-0.281,-0.168,1.000,4.578,-12.634,-12.146
-0.187,-0.163,1.015,13.184,-2.380,11.841
-0.072,-0.153,1.000,20.569,6.897,37.964
-0.013,-0.119,0.979,21.057,12.390,53.833
0.075,-0.046,0.980,13.428,10.864,43.091
0.109,-0.080,0.958,4.639,7.446,14.587
0.106,-0.079,0.964,1.770,4.211,5.371
0.105,-0.086,0.958,2.258,1.404,2.075
0.086,-0.086,0.967,3.540,-0.671,1.953
0.057,-0.097,0.988,4.883,-1.221,2.319
0.020,-0.105,0.996,5.920,-1.099,2.014
-0.008,-0.106,0.988,6.287,-0.671,0.854
-0.026,-0.104,0.993,5.920,0.000,-1.343
-0.035,-0.097,0.983,5.371,1.343,-4.150
-0.026,-0.101,0.971,5.005,2.075,-6.958
-0.014,-0.100,0.965,4.700,1.892,-9.521
-0.002,-0.097,0.958,3.906,1.221,-10.620
0.009,-0.097,0.951,3.723,0.549,-9.827
0.024,-0.096,0.951,3.967,0.305,-7.324
0.033,-0.104,0.949,4.822,0.610,-4.333
0.028,-0.095,0.948,5.798,1.160,0.610
0.028,-0.094,0.951,6.592,1.587,4.211
0.031,-0.104,0.963,7.141,1.526,6.042
0.010,-0.104,0.974,7.202,1.404,7.812
0.006,-0.106,0.975,7.263,1.526,9.033
0.002,-0.104,0.979,6.836,1.770,8.728
